"","X","ARIDavg","ARIDmax","ARIDmin","ARIDsd","NDVIavg","NDVImax","NDVImin","NDVIsd","PETavg","PETmax","PETmin","PETsd","PRECavg","PRECmax","PRECmin","PRECsd","SRADavg","SRADmax","SRADmin","SRADsd","TAVGavg","TAVGsd","TMAXavg","TMAXsd","TMINavg","TMINsd","VAPRavg","VAPRmax","VAPRmin","VAPRsd","ELEVavg","ELEVmax","ELEVmin","ELEVsd","WINDavg","WINDmax","WINDmin","WINDsd"
"Rana_areolata","Rana_areolata",0.728141642,0.989600003,0,0.120541731,127.6636771,255,60,24.75759112,1525.401674,1838,1185,135.41316,1103.950787,1470,820,118.193544,184236.5689,198226,165232,7457.376387,15.0613797,8.834997878,21.30088321,9.027865375,8.821833891,8.655081303,1.324678376,2.364858418,0.526976481,0.687015447,215.3818898,552,3,91.87397573,3.627187076,4.376644455,2.81269541,0.531137123
"Rana_berlandieri","Rana_berlandieri",0.287397852,1.700000048,0,0.211019188,110.6870475,255,45,42.46612045,2059.5,2628,1222,239.8860143,552.9989343,2507,187,309.5847604,209923.4881,237960,192713,9678.490235,19.63794842,5.685523311,27.11868507,5.477961958,12.15723278,5.920404332,1.392962177,2.018999327,0.815181561,0.472025898,866.1513321,2938,3,641.2632089,3.235528551,3.777664042,2.803136682,0.344401515
"Rana_blairi","Rana_blairi",0.439515241,0.926699996,0.088,0.227209254,87.40317052,255,16,31.0635013,1741.839615,2628,1109,377.7253764,692.6985224,1275,223,249.6916991,194208.7083,238930,156990,20238.09647,12.77748968,9.40297173,19.89567161,9.611866157,5.659279624,9.204427746,1.019234944,1.90508239,0.390216557,0.569009164,703.2039916,3299,66,543.5197857,4.421394748,5.307288899,3.634852852,0.489341093
"Rana_bwana","Rana_bwana",0.322846667,1.485800028,0.0557,0.355247096,129.7,209,62,52.21760027,1544.2,1634,1076,157.9055776,634.3666667,1851,126,446.8510886,172873.5,193172,150027,13819.59708,23.35088469,1.073390427,28.78690395,0.807024615,17.9149243,1.395624096,2.160777762,2.397604299,1.991122099,0.152407266,507,1088,195,205.4554235,2.439259015,2.755053353,2.030176449,0.256302312
"Rana_capito","Rana_capito",0.805819964,1.054800034,0,0.125718702,180.5757576,255,130,22.38134253,1613.329749,1876,1417,84.60563629,1314.854859,1662,1128,106.7705684,196847.8389,210665,181674,6804.390506,19.31489792,6.147055712,25.64752557,5.861345941,12.98222589,6.457638184,1.704369125,2.672762201,0.904211149,0.678254826,44.96801968,215,1,35.34337489,2.783882265,3.299133504,2.234590835,0.338787154
"Rana_catesbeiana","Rana_catesbeiana",0.766183179,2.419399977,0,0.325095346,119.5587023,255,14,50.55003621,1406.809479,2456,696,360.8702318,988.5550622,1972,217,316.8835936,177826.8465,228045,143625,20004.76089,12.44468479,8.862835009,18.75344592,9.118353881,6.135913461,8.615746199,1.15916183,2.069418063,0.483299936,0.595057209,373.3085258,3373,-3,403.0828479,3.56299186,4.184898132,2.836599742,0.442061738
"Rana_chiricahuensis","Rana_chiricahuensis",0.2132724,0.465299994,0.075099997,0.077197629,93.92330383,195,27,32.05007204,2133.897921,2618,1585,213.9865849,447.6103896,894,217,128.5929613,227610.9494,238930,205334,8641.540429,13.89313066,6.665378145,22.76725148,6.684799034,5.019023647,6.711297607,0.735077071,1.402489383,0.45030698,0.350781134,1741.377922,2979,770,399.8779057,3.320218181,4.181298055,2.707015584,0.474071554
"Rana_clamitans","Rana_clamitans",0.967739994,2.498800039,0,0.250382622,124.1389867,255,16,50.75955803,1172.146637,1914,648,292.9596001,1095.354744,1972,534,223.538317,165995.2732,208372,137880,18072.72846,10.10674172,9.480834057,16.02046965,9.760967922,4.1930154,9.211910069,1.088698201,2.016450943,0.417688166,0.596350387,250.2051195,1302,-3,163.8666358,3.267814121,3.811566888,2.536608878,0.442381486
"Rana_dunni","Rana_dunni",0.585999995,0.594900012,0.577099979,0.012586524,186.5,188,185,2.121320344,1780.5,1793,1768,17.67766953,1071.2,1112,1026,30.83342342,215573.6,217086,213825,1487.459344,16.38420847,1.970845383,23.95712509,1.953918242,8.810429207,2.95633715,1.104405418,1.390594983,0.838985014,0.224142215,2238.8,2601,1775,327.2479183,2.170629152,2.554500008,1.919849992,0.235873576
"Rana_forreri","Rana_forreri",0.441860899,1.952800035,0,0.259861195,170.9247312,255,64,47.7947722,2023.897163,2431,1577,192.2400636,866.0909091,2332,179,410.6885794,217814.3301,223488,207039,2944.385327,24.44121989,2.931290164,31.50010116,2.18963943,17.38236227,3.84708118,1.98985126,2.599233172,1.53780515,0.422848168,353.0502392,1876,-1,408.7920791,2.402099822,2.676750009,2.138250105,0.208281062
